Temperature,Energy,Energy_Std,Specific_Heat,Specific_Heat_Std,Magnetization,Magnetization_Std,Susceptibility,Susceptibility_Std
0.850000,-0.745176,0.000840,0.212552,0.010256,0.742233,0.001667,0.666702,0.042704
0.856061,-0.742564,0.000806,0.216497,0.009999,0.739334,0.001535,0.680928,0.041984
0.862121,-0.740139,0.000753,0.218366,0.010748,0.736590,0.001428,0.695855,0.042344
0.868182,-0.737170,0.000709,0.223055,0.009857,0.733135,0.001557,0.719888,0.049990
0.874242,-0.734553,0.000859,0.222632,0.009460,0.730212,0.001441,0.732916,0.048904
0.880303,-0.731723,0.000853,0.225420,0.010551,0.726564,0.001736,0.759106,0.052108
0.886364,-0.728958,0.000816,0.228082,0.010656,0.723477,0.001703,0.783038,0.059812
0.892424,-0.726119,0.000896,0.232968,0.009133,0.720029,0.001633,0.806672,0.044675
0.898485,-0.723209,0.000808,0.234715,0.010859,0.716534,0.001339,0.833806,0.052997
0.904545,-0.720386,0.000860,0.238083,0.010180,0.712838,0.001728,0.874096,0.066409
0.910606,-0.717454,0.000891,0.241354,0.011256,0.709254,0.001755,0.892676,0.064913
0.916667,-0.714400,0.000828,0.244945,0.009257,0.705683,0.001705,0.924961,0.067390
0.922727,-0.711314,0.000945,0.250646,0.011667,0.701665,0.001643,0.967206,0.067018
0.928788,-0.708558,0.000924,0.253027,0.011617,0.698105,0.001768,0.999940,0.071491
0.934848,-0.705332,0.000999,0.254395,0.011130,0.693774,0.001828,1.043477,0.072827
0.940909,-0.702229,0.000876,0.259439,0.012427,0.689803,0.001968,1.092639,0.094295
0.946970,-0.698936,0.000939,0.262775,0.012211,0.685300,0.002065,1.146738,0.094720
0.953030,-0.695828,0.000978,0.266371,0.012166,0.680884,0.002194,1.206612,0.089107
0.959091,-0.692685,0.000966,0.272350,0.012119,0.676409,0.002541,1.264980,0.112207
0.965152,-0.689095,0.001001,0.277159,0.011369,0.671186,0.002220,1.344171,0.110707
0.971212,-0.685704,0.001092,0.281921,0.014215,0.666403,0.002769,1.420259,0.129282
0.977273,-0.682347,0.000892,0.285815,0.012883,0.661452,0.002226,1.471663,0.114035
0.983333,-0.678884,0.001026,0.289724,0.013087,0.656009,0.002585,1.571324,0.120067
0.989394,-0.675040,0.001042,0.296482,0.012613,0.649934,0.002419,1.650040,0.135286
0.995455,-0.671639,0.001124,0.299944,0.013377,0.644536,0.002403,1.761137,0.122097
1.001515,-0.667851,0.001091,0.303663,0.014147,0.638669,0.002581,1.843280,0.146008
1.007576,-0.664094,0.001156,0.308397,0.013727,0.632762,0.002828,1.960879,0.155976
1.013636,-0.660434,0.001073,0.314356,0.015191,0.626647,0.002866,2.070359,0.142752
1.019697,-0.656367,0.001046,0.318774,0.013398,0.619734,0.002852,2.181057,0.147024
1.025758,-0.652556,0.001173,0.328781,0.014692,0.612853,0.002847,2.318149,0.176197
1.031818,-0.648238,0.001012,0.332991,0.015544,0.605066,0.002620,2.487645,0.186452
1.037879,-0.644638,0.001162,0.333010,0.015138,0.599086,0.003130,2.566554,0.170080
1.043939,-0.640301,0.001167,0.340021,0.015585,0.590606,0.002974,2.728332,0.172125
1.050000,-0.636060,0.001235,0.346543,0.015437,0.582568,0.003245,2.904405,0.180943
1.056061,-0.631974,0.001308,0.351277,0.016827,0.575053,0.003869,3.005613,0.187968
1.062121,-0.627925,0.001325,0.352997,0.016234,0.567025,0.003950,3.149407,0.191378
1.068182,-0.623206,0.001168,0.353748,0.014812,0.557609,0.003155,3.311790,0.182112
1.074242,-0.618689,0.001472,0.360614,0.017254,0.548392,0.004008,3.477826,0.208078
1.080303,-0.614640,0.001267,0.361649,0.016674,0.539771,0.003831,3.624607,0.203048
1.086364,-0.609972,0.001210,0.362320,0.014998,0.530269,0.004041,3.734047,0.200863
1.092424,-0.605566,0.001226,0.364079,0.016403,0.520948,0.003590,3.896190,0.203569
1.098485,-0.601102,0.001451,0.370742,0.013902,0.511835,0.004234,4.047578,0.203910
1.104545,-0.596645,0.001223,0.370693,0.019416,0.502316,0.003685,4.138087,0.196402
1.110606,-0.592118,0.001456,0.366054,0.016272,0.493026,0.004133,4.214587,0.211125
1.116667,-0.587691,0.001261,0.370132,0.016614,0.483400,0.004405,4.313435,0.178955
1.122727,-0.583110,0.001386,0.368942,0.015163,0.473126,0.005062,4.418460,0.223917
1.128788,-0.578266,0.001520,0.368638,0.017288,0.463136,0.004447,4.464484,0.186541
1.134848,-0.574188,0.001371,0.366802,0.016264,0.453528,0.004795,4.539666,0.193186
1.140909,-0.569914,0.001282,0.365158,0.016969,0.444623,0.005082,4.593255,0.198138
1.146970,-0.565524,0.001363,0.361603,0.015969,0.434767,0.004068,4.609453,0.168410
1.153030,-0.561212,0.001115,0.358870,0.015398,0.425555,0.004093,4.607563,0.176850
1.159091,-0.556729,0.001336,0.354447,0.014899,0.416623,0.004812,4.564790,0.182365
1.165152,-0.552422,0.001432,0.349198,0.014714,0.407508,0.004619,4.548475,0.178767
1.171212,-0.548236,0.001352,0.343821,0.015363,0.398778,0.004342,4.535328,0.183358
1.177273,-0.544028,0.001474,0.340952,0.015938,0.389986,0.004339,4.484414,0.158474
1.183333,-0.539883,0.001375,0.337319,0.015538,0.380961,0.005065,4.463611,0.145823
1.189394,-0.535937,0.001321,0.331069,0.013286,0.373446,0.004423,4.407293,0.161384
