L,T_fitted
9.600000,1.249171
11.352764,1.197238
13.105528,1.162563
14.858291,1.137620
16.611055,1.118718
18.363819,1.103836
20.116583,1.091769
21.869347,1.081755
23.622111,1.073289
25.374874,1.066020
27.127638,1.059698
28.880402,1.054138
30.633166,1.049203
32.385930,1.044785
34.138693,1.040803
35.891457,1.037191
37.644221,1.033895
39.396985,1.030873
41.149749,1.028090
42.902513,1.025516
44.655276,1.023127
46.408040,1.020901
48.160804,1.018821
49.913568,1.016873
51.666332,1.015042
53.419095,1.013318
55.171859,1.011690
56.924623,1.010151
58.677387,1.008692
60.430151,1.007307
62.182915,1.005990
63.935678,1.004735
65.688442,1.003537
67.441206,1.002393
69.193970,1.001299
70.946734,1.000250
72.699497,0.999245
74.452261,0.998279
76.205025,0.997351
77.957789,0.996459
79.710553,0.995599
81.463317,0.994770
83.216080,0.993970
84.968844,0.993197
86.721608,0.992451
88.474372,0.991729
90.227136,0.991030
91.979899,0.990353
93.732663,0.989697
95.485427,0.989061
97.238191,0.988444
98.990955,0.987844
100.743719,0.987262
102.496482,0.986695
104.249246,0.986144
106.002010,0.985608
107.754774,0.985086
109.507538,0.984578
111.260302,0.984082
113.013065,0.983599
114.765829,0.983128
116.518593,0.982668
118.271357,0.982219
120.024121,0.981780
121.776884,0.981352
123.529648,0.980933
125.282412,0.980524
127.035176,0.980123
128.787940,0.979732
130.540704,0.979348
132.293467,0.978973
134.046231,0.978605
135.798995,0.978245
137.551759,0.977893
139.304523,0.977547
141.057286,0.977208
142.810050,0.976875
144.562814,0.976549
146.315578,0.976229
148.068342,0.975915
149.821106,0.975607
151.573869,0.975304
153.326633,0.975006
155.079397,0.974714
156.832161,0.974427
158.584925,0.974145
160.337688,0.973868
162.090452,0.973595
163.843216,0.973327
165.595980,0.973063
167.348744,0.972804
169.101508,0.972549
170.854271,0.972298
172.607035,0.972050
174.359799,0.971807
176.112563,0.971567
177.865327,0.971331
179.618090,0.971099
181.370854,0.970870
183.123618,0.970644
184.876382,0.970421
186.629146,0.970202
188.381910,0.969986
190.134673,0.969773
191.887437,0.969563
193.640201,0.969356
195.392965,0.969152
197.145729,0.968950
198.898492,0.968752
200.651256,0.968555
202.404020,0.968362
204.156784,0.968171
205.909548,0.967982
207.662312,0.967796
209.415075,0.967612
211.167839,0.967431
212.920603,0.967252
214.673367,0.967075
216.426131,0.966900
218.178894,0.966727
219.931658,0.966557
221.684422,0.966388
223.437186,0.966222
225.189950,0.966057
226.942714,0.965895
228.695477,0.965734
230.448241,0.965575
232.201005,0.965418
233.953769,0.965262
235.706533,0.965109
237.459296,0.964957
239.212060,0.964807
240.964824,0.964658
242.717588,0.964511
244.470352,0.964366
246.223116,0.964222
247.975879,0.964080
249.728643,0.963939
251.481407,0.963799
253.234171,0.963662
254.986935,0.963525
256.739698,0.963390
258.492462,0.963256
260.245226,0.963124
261.997990,0.962993
263.750754,0.962863
265.503518,0.962735
267.256281,0.962607
269.009045,0.962481
270.761809,0.962357
272.514573,0.962233
274.267337,0.962111
276.020101,0.961989
277.772864,0.961869
279.525628,0.961750
281.278392,0.961632
283.031156,0.961516
284.783920,0.961400
286.536683,0.961285
288.289447,0.961172
290.042211,0.961059
291.794975,0.960947
293.547739,0.960837
295.300503,0.960727
297.053266,0.960618
298.806030,0.960511
300.558794,0.960404
302.311558,0.960298
304.064322,0.960193
305.817085,0.960089
307.569849,0.959985
309.322613,0.959883
311.075377,0.959782
312.828141,0.959681
314.580905,0.959581
316.333668,0.959482
318.086432,0.959384
319.839196,0.959286
321.591960,0.959189
323.344724,0.959094
325.097487,0.958998
326.850251,0.958904
328.603015,0.958810
330.355779,0.958717
332.108543,0.958625
333.861307,0.958534
335.614070,0.958443
337.366834,0.958353
339.119598,0.958263
340.872362,0.958175
342.625126,0.958087
344.377889,0.957999
346.130653,0.957912
347.883417,0.957826
349.636181,0.957741
351.388945,0.957656
353.141709,0.957572
354.894472,0.957488
356.647236,0.957405
358.400000,0.957322
