L,T,ordered_mean,ordered_std,amorphous_mean,amorphous_std
16,0.850000,0.999086,0.000231,0.000922,0.000229
16,0.860000,0.998003,0.000662,0.002051,0.000686
16,0.870000,0.998163,0.000668,0.001879,0.000711
16,0.881000,0.990577,0.004051,0.009335,0.003947
16,0.891000,0.992739,0.002048,0.007313,0.002052
16,0.901000,0.993617,0.002357,0.006357,0.002325
16,0.911000,0.988008,0.002596,0.011931,0.002610
16,0.921000,0.979854,0.005831,0.020204,0.006250
16,0.931000,0.990396,0.002175,0.009591,0.002238
16,0.942000,0.991925,0.001369,0.008060,0.001313
16,0.952000,0.991243,0.001596,0.008689,0.001517
16,0.962000,0.965425,0.007902,0.034341,0.008161
16,0.972000,0.953787,0.008402,0.046315,0.008245
16,0.982000,0.947665,0.009040,0.052540,0.009281
16,0.992000,0.906007,0.014871,0.094756,0.014032
16,1.003000,0.916395,0.012984,0.083571,0.013865
16,1.013000,0.931188,0.010257,0.068606,0.010156
16,1.023000,0.928662,0.013298,0.070777,0.013174
16,1.033000,0.914236,0.015177,0.085824,0.015043
16,1.043000,0.833879,0.022545,0.165587,0.022490
16,1.053000,0.786941,0.027346,0.212572,0.026254
16,1.064000,0.820919,0.021910,0.179950,0.022257
16,1.074000,0.759421,0.023294,0.240900,0.023447
16,1.084000,0.733273,0.024850,0.266024,0.025692
16,1.094000,0.660352,0.026141,0.339574,0.025716
16,1.104000,0.705012,0.026797,0.293866,0.025834
16,1.114000,0.593383,0.029393,0.405190,0.028435
16,1.125000,0.514926,0.029066,0.486613,0.030281
16,1.135000,0.543882,0.029205,0.456820,0.030883
16,1.145000,0.471406,0.028197,0.526902,0.027802
16,1.155000,0.432555,0.025591,0.567049,0.025523
16,1.165000,0.434832,0.025712,0.565521,0.026700
16,1.175000,0.305825,0.028134,0.694310,0.026506
16,1.186000,0.322688,0.024750,0.677172,0.024450
16,1.196000,0.250188,0.022803,0.749301,0.021105
16,1.206000,0.260668,0.025817,0.738541,0.025064
16,1.216000,0.195754,0.022255,0.803290,0.021603
16,1.226000,0.213662,0.020849,0.785508,0.020941
16,1.236000,0.163557,0.019081,0.836635,0.017864
16,1.247000,0.187280,0.018848,0.812466,0.019856
16,1.257000,0.173261,0.019052,0.827209,0.018974
16,1.267000,0.108801,0.015201,0.891056,0.015342
16,1.277000,0.111920,0.012807,0.888023,0.013072
16,1.287000,0.139970,0.017212,0.859582,0.017589
16,1.297000,0.118646,0.016930,0.882118,0.017338
16,1.308000,0.066340,0.011006,0.933912,0.010752
16,1.318000,0.066734,0.010679,0.933351,0.010657
16,1.328000,0.085995,0.012627,0.913410,0.013036
16,1.338000,0.093453,0.011152,0.907115,0.011392
16,1.348000,0.079546,0.011886,0.919604,0.011476
16,1.358000,0.045377,0.009706,0.954407,0.009571
16,1.369000,0.052955,0.007872,0.947844,0.007872
16,1.379000,0.031889,0.007777,0.968582,0.007789
16,1.389000,0.047019,0.007134,0.953129,0.007086
16,1.399000,0.030334,0.006765,0.969738,0.006936
16,1.409000,0.057816,0.009934,0.942335,0.009917
16,1.419000,0.030297,0.005741,0.969951,0.005733
16,1.430000,0.020433,0.005728,0.980070,0.005795
16,1.440000,0.015922,0.002608,0.984261,0.002646
16,1.450000,0.021699,0.003757,0.978530,0.003714
32,0.750000,0.999967,0.000003,0.000033,0.000003
32,0.760000,0.999890,0.000027,0.000109,0.000026
32,0.770000,0.999909,0.000013,0.000091,0.000013
32,0.781000,0.999934,0.000013,0.000066,0.000013
32,0.791000,0.999914,0.000022,0.000087,0.000024
32,0.801000,0.999905,0.000019,0.000094,0.000019
32,0.811000,0.999491,0.000127,0.000508,0.000127
32,0.821000,0.999349,0.000241,0.000657,0.000243
32,0.831000,0.999634,0.000101,0.000365,0.000105
32,0.842000,0.999169,0.000241,0.000809,0.000224
32,0.852000,0.998677,0.000437,0.001267,0.000428
32,0.862000,0.999507,0.000126,0.000495,0.000127
32,0.872000,0.997800,0.000675,0.002200,0.000706
32,0.882000,0.994050,0.002162,0.006071,0.002172
32,0.892000,0.986806,0.003944,0.013106,0.004119
32,0.903000,0.985156,0.005354,0.014936,0.005512
32,0.913000,0.970303,0.007517,0.029283,0.007720
32,0.923000,0.947547,0.010946,0.052494,0.011260
32,0.933000,0.905972,0.018899,0.093075,0.017855
32,0.943000,0.905689,0.018487,0.094359,0.018170
32,0.953000,0.889509,0.019409,0.112397,0.019922
32,0.964000,0.887915,0.020242,0.112451,0.019933
32,0.974000,0.819920,0.025745,0.180903,0.025884
32,0.984000,0.785088,0.028035,0.215470,0.027765
32,0.994000,0.740785,0.031131,0.257245,0.030898
32,1.004000,0.668146,0.032813,0.331613,0.032067
32,1.014000,0.639804,0.033006,0.360254,0.032343
32,1.025000,0.565263,0.032883,0.434117,0.034044
32,1.035000,0.543949,0.035072,0.454876,0.033673
32,1.045000,0.408584,0.033094,0.590712,0.031480
32,1.055000,0.302708,0.029240,0.696320,0.030183
32,1.065000,0.283414,0.028964,0.714573,0.027936
32,1.075000,0.227366,0.027416,0.770256,0.027381
32,1.086000,0.207685,0.026869,0.790543,0.027004
32,1.096000,0.133965,0.021493,0.864360,0.021328
32,1.106000,0.108404,0.020744,0.892545,0.020458
32,1.116000,0.058151,0.012506,0.941774,0.012455
32,1.126000,0.062493,0.015352,0.936734,0.015497
32,1.136000,0.066078,0.015789,0.933789,0.015747
32,1.147000,0.032695,0.008765,0.967612,0.008959
32,1.157000,0.007942,0.003619,0.991722,0.003732
32,1.167000,0.005080,0.001139,0.994881,0.001086
32,1.177000,0.008012,0.003009,0.992205,0.002949
32,1.187000,0.005021,0.004094,0.994775,0.004272
32,1.197000,0.001758,0.000903,0.998212,0.000949
32,1.208000,0.001060,0.000268,0.998956,0.000273
32,1.218000,0.000372,0.000062,0.999630,0.000062
32,1.228000,0.000281,0.000052,0.999720,0.000053
32,1.238000,0.000439,0.000089,0.999558,0.000084
32,1.248000,0.000415,0.000132,0.999591,0.000135
32,1.258000,0.000216,0.000038,0.999788,0.000038
32,1.269000,0.000221,0.000054,0.999773,0.000055
32,1.279000,0.000234,0.000041,0.999770,0.000040
32,1.289000,0.000125,0.000015,0.999875,0.000015
32,1.299000,0.000153,0.000025,0.999845,0.000026
32,1.309000,0.000105,0.000011,0.999895,0.000011
32,1.319000,0.000092,0.000009,0.999908,0.000010
32,1.330000,0.000078,0.000007,0.999922,0.000007
32,1.340000,0.000060,0.000004,0.999939,0.000004
32,1.350000,0.000066,0.000005,0.999934,0.000005
64,0.700000,0.999752,0.000011,0.000249,0.000011
64,0.710000,0.999723,0.000017,0.000277,0.000016
64,0.720000,0.999735,0.000013,0.000265,0.000013
64,0.731000,0.999696,0.000015,0.000304,0.000015
64,0.741000,0.999694,0.000020,0.000306,0.000021
64,0.751000,0.999594,0.000031,0.000409,0.000031
64,0.761000,0.999576,0.000043,0.000423,0.000043
64,0.771000,0.999578,0.000028,0.000423,0.000028
64,0.781000,0.999499,0.000038,0.000503,0.000039
