# 2D XY Model (128x128) Susceptibility Analysis
# Temperature	Avg_Magnetization	Magnetization_Std	Avg_Susceptibility(x10^-3)	Susceptibility_Std(x10^-3)
0.670000	11501.434931	443.414557	4477.804822	601.554591
0.680000	11474.920478	432.878922	4204.787339	584.071204
0.690000	11357.744554	501.583429	5563.618443	1387.377073
0.701000	11311.844648	451.272502	4432.816909	540.709578
0.711000	11279.883024	417.523733	3741.216157	462.815605
0.721000	11114.395524	493.375614	5151.576628	717.812757
0.731000	11140.299025	448.145839	4192.194557	467.882721
0.741000	11007.309866	431.676983	3837.246036	476.723345
0.751000	10895.425006	478.590079	4653.797856	563.493623
0.762000	10740.054955	487.187330	4752.882403	674.588738
0.772000	10710.714629	457.625912	4139.272180	558.726839
0.782000	10604.716173	533.792357	5559.785264	869.009758
0.792000	10403.551272	574.686884	6362.934580	1051.161283
0.802000	10343.456693	568.584271	6150.853515	909.795392
0.812000	10276.942897	559.215934	5876.559183	799.906686
0.823000	10165.157867	471.767421	4126.445619	498.202345
0.833000	10049.321129	575.616728	6069.345784	1040.437391
0.843000	9841.096782	544.064303	5357.879711	870.712762
0.853000	9796.744813	569.390342	5799.509058	652.147830
0.863000	9740.462342	480.686009	4085.377920	432.753134
0.873000	9541.965636	635.475182	7058.347153	1767.725212
0.884000	9365.144999	602.643572	6268.864186	713.879066
0.894000	9273.300621	548.762609	5139.863376	835.913686
0.904000	9092.368683	678.393450	7768.102213	883.525721
0.914000	8784.823010	654.695470	7155.706935	934.179981
0.924000	8399.503609	822.497165	11171.639606	1391.226605
0.934000	8470.449822	710.207447	8240.311644	802.273216
0.945000	8062.734446	921.450824	13709.846311	3074.681390
0.955000	7635.084996	996.358938	15861.649164	2980.787032
0.965000	7176.753556	1157.753530	21194.588226	3577.981021
0.975000	6527.737012	1438.089939	32365.889673	4657.927068
0.985000	5742.931292	1692.437876	44372.031359	5587.407275
0.995000	4765.236308	1728.460743	45815.879632	3985.473524
1.006000	4027.926643	1618.408107	39728.135090	3784.023344
1.016000	3497.077960	1449.102814	31537.318272	3141.448750
1.026000	2813.199683	1475.372984	32372.509133	3722.893256
1.036000	2457.094048	1225.283427	22112.275292	2172.044982
1.046000	2138.044926	1057.238445	16305.505964	1522.329342
1.056000	1972.179688	951.162936	13072.720889	1425.139436
1.067000	1796.089071	912.188692	11899.398753	1392.216723
1.077000	1548.505597	757.373988	8126.904125	805.938147
1.087000	1426.277764	679.464570	6480.733404	633.696210
1.097000	1341.042791	661.528808	6087.107405	608.828672
1.107000	1308.756940	633.499967	5531.789454	524.924976
1.117000	1153.213873	563.865982	4343.288565	468.776799
1.128000	982.326661	561.240138	4260.969401	561.303719
1.138000	987.734886	491.641209	3240.965173	318.269709
1.148000	902.476882	464.640268	2869.537281	314.256814
1.158000	845.299550	460.787608	2797.776976	286.708301
1.168000	854.871581	424.113135	2349.852874	264.287210
1.178000	795.751070	439.366527	2500.510675	294.908584
1.189000	773.619196	396.544741	2018.006698	289.741334
1.199000	751.092933	410.709287	2146.692964	220.700227
1.209000	664.952050	365.008894	1681.514675	253.999397
1.219000	674.301856	358.880469	1612.189215	184.792339
1.229000	661.398464	321.981380	1287.151600	138.331226
1.239000	664.678307	354.141357	1544.550304	222.670370
1.250000	602.005403	306.622323	1147.671497	170.061292
1.260000	614.542954	315.002197	1201.646400	162.776465
1.270000	586.982968	283.824027	967.864730	120.758194

# Overall Average Susceptibility: 9231.386837 x10^-3
# Overall Susceptibility Std Dev: 1155.978155 x10^-3
