# # Temperature	Energy	Specific Heat	Magnetization	Susceptibility
0.100000	-0.971197	0.001174	0.968710	0.000797
0.226316	-0.934751	0.000983	0.929972	0.001291
0.352632	-0.896196	0.001024	0.887237	0.002309
0.478947	-0.856016	0.000972	0.843441	0.002951
0.605263	-0.813507	0.000953	0.797541	0.003766
0.731579	-0.763137	0.001077	0.738119	0.004969
0.857895	-0.706917	0.001255	0.667561	0.008021
0.984211	-0.631450	0.001489	0.533372	0.017207
1.110526	-0.544826	0.001285	0.361889	0.017807
1.236842	-0.476065	0.000991	0.252717	0.011217
1.363158	-0.420651	0.000812	0.194034	0.006810
1.489474	-0.377106	0.000619	0.162471	0.004690
1.615789	-0.342008	0.000500	0.141066	0.003202
1.742105	-0.311958	0.000420	0.127870	0.002474
1.868421	-0.288937	0.000352	0.117160	0.001976
1.994737	-0.268100	0.000300	0.111292	0.001642
2.121053	-0.250505	0.000268	0.103566	0.001387
2.247368	-0.235168	0.000235	0.098484	0.001143
2.373684	-0.220372	0.000207	0.094945	0.001008
2.500000	-0.208923	0.000176	0.092530	0.000905
