# # Temperature	Energy	Specific Heat	Magnetization	Susceptibility
0.100000	-0.974823	0.000520	0.975008	0.000248
0.104810	-0.973677	0.000607	0.973612	0.000244
0.109619	-0.972493	0.000579	0.973612	0.000153
0.114429	-0.971120	0.000401	0.970433	0.000230
0.119238	-0.969853	0.000481	0.970226	0.000255
0.124048	-0.968666	0.000549	0.968509	0.000296
0.128858	-0.966893	0.000476	0.966535	0.000299
0.133667	-0.966782	0.000545	0.968416	0.000253
0.138477	-0.964353	0.000518	0.963728	0.000284
0.143287	-0.963296	0.000578	0.962624	0.000399
0.148096	-0.962219	0.000581	0.961454	0.000374
0.152906	-0.960857	0.000442	0.960924	0.000300
0.157715	-0.959629	0.000532	0.960066	0.000288
0.162525	-0.958325	0.000537	0.958604	0.000357
0.167335	-0.957679	0.000425	0.957220	0.000340
0.172144	-0.956519	0.000515	0.956835	0.000417
0.176954	-0.955833	0.000468	0.955672	0.000453
0.181764	-0.953781	0.000491	0.954451	0.000350
0.186573	-0.951859	0.000631	0.951738	0.000370
0.191383	-0.950926	0.000548	0.950812	0.000402
0.196192	-0.950599	0.000422	0.950384	0.000381
0.201002	-0.948296	0.000503	0.947944	0.000439
0.205812	-0.947498	0.000584	0.948792	0.000361
0.210621	-0.946954	0.000439	0.946238	0.000571
0.215431	-0.944877	0.000468	0.945739	0.000445
0.220240	-0.942914	0.000480	0.941876	0.000515
0.225050	-0.941761	0.000613	0.941930	0.000592
0.229860	-0.941093	0.000488	0.941479	0.000487
0.234669	-0.938844	0.000440	0.939286	0.000518
0.239479	-0.937940	0.000443	0.937370	0.000527
0.244289	-0.937621	0.000507	0.938763	0.000449
0.249098	-0.935706	0.000592	0.936768	0.000516
0.253908	-0.934113	0.000552	0.936026	0.000536
0.258717	-0.933842	0.000564	0.935080	0.000516
0.263527	-0.932550	0.000466	0.933714	0.000511
0.268337	-0.930233	0.000544	0.931513	0.000566
0.273146	-0.927719	0.000520	0.927394	0.000627
0.277956	-0.928037	0.000555	0.929198	0.000657
0.282766	-0.927544	0.000455	0.928011	0.000664
0.287575	-0.925617	0.000461	0.926544	0.000640
0.292385	-0.923617	0.000454	0.925005	0.000604
0.297194	-0.923219	0.000537	0.923749	0.000609
0.302004	-0.921562	0.000470	0.921645	0.000649
0.306814	-0.920254	0.000517	0.921419	0.000664
0.311623	-0.917766	0.000459	0.919731	0.000677
0.316433	-0.917386	0.000577	0.917384	0.000657
0.321242	-0.914698	0.000550	0.913045	0.000836
0.326052	-0.916138	0.000457	0.917922	0.000741
