# # Temperature	Energy	Magnetization	Susceptibility	Specific_Heat
0.100000	-0.980508	0.980123	0.018029	0.135668
0.200000	-0.950573	0.952939	0.082594	0.136426
0.300000	-0.922855	0.922904	0.172074	0.124096
0.400000	-0.900137	0.899530	0.297701	0.120015
0.500000	-0.862675	0.863211	0.261205	0.131197
0.600000	-0.830479	0.825343	0.746545	0.217485
0.700000	-0.803083	0.805113	0.376955	0.104014
0.800000	-0.765215	0.747378	0.707038	0.201908
0.900000	-0.717363	0.700629	1.108607	0.204689
1.000000	-0.662939	0.639599	1.404944	0.308149
1.100000	-0.604068	0.528558	2.825108	0.378867
1.200000	-0.532225	0.381286	4.231264	0.203205
1.300000	-0.471198	0.269613	3.277116	0.249521
1.400000	-0.419510	0.216828	2.121335	0.205310
1.500000	-0.380980	0.171706	1.759529	0.162283
1.600000	-0.373555	0.157594	1.006702	0.127125
1.700000	-0.327090	0.125571	0.844139	0.149698
1.800000	-0.310991	0.137149	0.681520	0.089806
1.900000	-0.301246	0.118545	0.516930	0.074924
2.000000	-0.268214	0.113813	0.501015	0.086158
