# # Temperature	Energy	Specific Heat	Magnetization	Susceptibility
0.100000	-0.974629	0.000114	0.969010	0.000191
0.104810	-0.973457	0.000117	0.969092	0.000173
0.109619	-0.972073	0.000111	0.966234	0.000226
0.114429	-0.970898	0.000117	0.964537	0.000243
0.119238	-0.969717	0.000105	0.962910	0.000245
0.124048	-0.968255	0.000139	0.961723	0.000293
0.128858	-0.967079	0.000137	0.960175	0.000260
0.133667	-0.965881	0.000131	0.959117	0.000296
0.138477	-0.964736	0.000137	0.958525	0.000238
0.143287	-0.963466	0.000119	0.955817	0.000297
0.148096	-0.962098	0.000127	0.954497	0.000284
0.152906	-0.960822	0.000124	0.953075	0.000286
0.157715	-0.959448	0.000130	0.951174	0.000299
0.162525	-0.958390	0.000120	0.949815	0.000298
0.167335	-0.957306	0.000138	0.948999	0.000304
0.172144	-0.955827	0.000148	0.946572	0.000364
0.176954	-0.954315	0.000140	0.946101	0.000317
0.181764	-0.953200	0.000177	0.943524	0.000408
0.186573	-0.952048	0.000112	0.942055	0.000376
0.191383	-0.951051	0.000149	0.941934	0.000325
0.196192	-0.949804	0.000138	0.939505	0.000403
0.201002	-0.948100	0.000144	0.936527	0.000430
0.205812	-0.946879	0.000119	0.936617	0.000372
0.210621	-0.945740	0.000128	0.934773	0.000468
0.215431	-0.944413	0.000134	0.933215	0.000413
0.220240	-0.943246	0.000140	0.930424	0.000525
0.225050	-0.942024	0.000129	0.931040	0.000382
0.229860	-0.940891	0.000131	0.928393	0.000547
0.234669	-0.939423	0.000141	0.927722	0.000466
0.239479	-0.938203	0.000150	0.926553	0.000486
0.244289	-0.936392	0.000110	0.923907	0.000481
0.249098	-0.935009	0.000134	0.922617	0.000502
0.253908	-0.934040	0.000137	0.919796	0.000609
0.258717	-0.932618	0.000133	0.918955	0.000477
0.263527	-0.931530	0.000113	0.917373	0.000623
0.268337	-0.930122	0.000128	0.915015	0.000551
0.273146	-0.928720	0.000127	0.914415	0.000602
0.277956	-0.927722	0.000143	0.913520	0.000568
0.282766	-0.926256	0.000134	0.910563	0.000647
0.287575	-0.925019	0.000138	0.910073	0.000516
0.292385	-0.923512	0.000142	0.908416	0.000545
0.297194	-0.922489	0.000122	0.906175	0.000597
0.302004	-0.920900	0.000120	0.904116	0.000571
0.306814	-0.919637	0.000129	0.903411	0.000706
0.311623	-0.918030	0.000135	0.901453	0.000644
0.316433	-0.916626	0.000132	0.899368	0.000712
0.321242	-0.915603	0.000144	0.896262	0.000768
0.326052	-0.914852	0.000129	0.896697	0.000665
0.330862	-0.913144	0.000147	0.896228	0.000673
0.335671	-0.911932	0.000133	0.896907	0.000533
0.340481	-0.910260	0.000141	0.892226	0.000713
0.345291	-0.909004	0.000128	0.890558	0.000730
0.350100	-0.907762	0.000145	0.889879	0.000715
0.354910	-0.906113	0.000136	0.887253	0.000754
0.359719	-0.904819	0.000149	0.885883	0.000724
0.364529	-0.903619	0.000132	0.884521	0.000786
0.369339	-0.902528	0.000145	0.883462	0.000731
0.374148	-0.901122	0.000125	0.884119	0.000638
0.378958	-0.899822	0.000147	0.879711	0.000710
0.383768	-0.898342	0.000157	0.878055	0.000848
0.388577	-0.896733	0.000131	0.874529	0.000837
0.393387	-0.895297	0.000123	0.873701	0.000840
0.398196	-0.893851	0.000132	0.874626	0.000777
0.403006	-0.892782	0.000149	0.870125	0.000975
0.407816	-0.891451	0.000134	0.870061	0.000909
0.412625	-0.889950	0.000166	0.867680	0.000911
0.417435	-0.888659	0.000147	0.865226	0.000861
0.422244	-0.887467	0.000163	0.866475	0.000934
0.427054	-0.884965	0.000151	0.862526	0.000867
0.431864	-0.884799	0.000138	0.862406	0.000771
0.436673	-0.883010	0.000161	0.857985	0.000943
0.441483	-0.881899	0.000156	0.857613	0.000983
0.446293	-0.880261	0.000150	0.858684	0.000824
0.451102	-0.879081	0.000145	0.855257	0.000973
0.455912	-0.877309	0.000157	0.853599	0.000889
0.460721	-0.875995	0.000149	0.851699	0.000952
0.465531	-0.874616	0.000148	0.849018	0.000902
0.470341	-0.872892	0.000148	0.849653	0.000870
0.475150	-0.871969	0.000143	0.847723	0.000997
0.479960	-0.870482	0.000150	0.846203	0.000929
0.484770	-0.868929	0.000173	0.843477	0.001103
0.489579	-0.867645	0.000157	0.838944	0.001209
0.494389	-0.866272	0.000142	0.840127	0.000991
0.499198	-0.864718	0.000142	0.837969	0.000972
0.504008	-0.863002	0.000151	0.835709	0.000959
0.508818	-0.861658	0.000149	0.836285	0.000964
0.513627	-0.860249	0.000153	0.832443	0.001004
0.518437	-0.858658	0.000158	0.830806	0.000928
0.523246	-0.857591	0.000158	0.831011	0.001039
0.528056	-0.856435	0.000165	0.828038	0.001098
0.532866	-0.854697	0.000165	0.825855	0.001158
0.537675	-0.853169	0.000156	0.824607	0.001064
0.542485	-0.850601	0.000150	0.818848	0.001245
0.547295	-0.850050	0.000149	0.821468	0.001103
0.552104	-0.848835	0.000150	0.817506	0.001180
0.556914	-0.847516	0.000175	0.816402	0.001426
0.561723	-0.845905	0.000163	0.816366	0.001165
0.566533	-0.844108	0.000144	0.812470	0.001140
0.571343	-0.843037	0.000152	0.813015	0.001106
0.576152	-0.841098	0.000159	0.808780	0.001333
0.580962	-0.839882	0.000172	0.809108	0.001254
0.585772	-0.838474	0.000159	0.806741	0.001132
0.590581	-0.836684	0.000153	0.804847	0.001112
0.595391	-0.834506	0.000163	0.802583	0.001197
0.600200	-0.833888	0.000143	0.800839	0.001159
0.605010	-0.832671	0.000151	0.800111	0.001281
0.609820	-0.830488	0.000162	0.796623	0.001202
0.614629	-0.828470	0.000148	0.794180	0.001279
0.619439	-0.827081	0.000182	0.795399	0.001181
0.624248	-0.825044	0.000176	0.791585	0.001410
0.629058	-0.824201	0.000185	0.788206	0.001411
0.633868	-0.822124	0.000173	0.788122	0.001320
0.638677	-0.820868	0.000159	0.785679	0.001301
0.643487	-0.820079	0.000193	0.785408	0.001357
0.648297	-0.817454	0.000155	0.780207	0.001459
0.653106	-0.816166	0.000171	0.780757	0.001334
0.657916	-0.814560	0.000159	0.780694	0.001295
0.662725	-0.812922	0.000159	0.775636	0.001545
0.667535	-0.810971	0.000177	0.774336	0.001365
0.672345	-0.809335	0.000165	0.772508	0.001528
0.677154	-0.808351	0.000162	0.770214	0.001453
0.681964	-0.806603	0.000175	0.769009	0.001302
0.686774	-0.804904	0.000155	0.765846	0.001416
0.691583	-0.803354	0.000167	0.762914	0.001477
0.696393	-0.801881	0.000191	0.763398	0.001489
0.701202	-0.799811	0.000167	0.759059	0.001634
0.706012	-0.798368	0.000174	0.759591	0.001552
0.710822	-0.797046	0.000175	0.754759	0.001617
0.715631	-0.794759	0.000174	0.752631	0.001515
0.720441	-0.792387	0.000174	0.754275	0.001608
0.725251	-0.791619	0.000180	0.751234	0.001611
0.730060	-0.789305	0.000173	0.748497	0.001512
0.734870	-0.787345	0.000188	0.743443	0.001787
0.739679	-0.786340	0.000180	0.744575	0.001735
0.744489	-0.784349	0.000168	0.740737	0.001921
0.749299	-0.782584	0.000190	0.740238	0.001675
0.754108	-0.780124	0.000180	0.735157	0.001577
0.758918	-0.779070	0.000195	0.734100	0.001632
0.763727	-0.777793	0.000188	0.732452	0.001793
0.768537	-0.775198	0.000194	0.730700	0.001649
0.773347	-0.773998	0.000174	0.726869	0.001753
0.778156	-0.771251	0.000201	0.724722	0.001754
0.782966	-0.769465	0.000188	0.719909	0.001789
0.787776	-0.767480	0.000205	0.721121	0.001747
0.792585	-0.765535	0.000213	0.720083	0.001764
0.797395	-0.763901	0.000218	0.713604	0.001947
0.802204	-0.761853	0.000197	0.713306	0.001833
0.807014	-0.760867	0.000200	0.713187	0.001963
0.811824	-0.758021	0.000198	0.709531	0.001901
0.816633	-0.756192	0.000209	0.705650	0.002049
0.821443	-0.753885	0.000198	0.699239	0.002210
0.826253	-0.751783	0.000235	0.700402	0.002198
0.831062	-0.749114	0.000215	0.696997	0.002306
0.835872	-0.748433	0.000233	0.694216	0.002160
0.840681	-0.745715	0.000210	0.693216	0.001970
0.845491	-0.743884	0.000215	0.691031	0.002227
0.850301	-0.742203	0.000229	0.687091	0.002301
0.855110	-0.739942	0.000234	0.685091	0.002303
0.859920	-0.737894	0.000226	0.681070	0.002342
0.864729	-0.735192	0.000231	0.674683	0.002445
0.869539	-0.732857	0.000228	0.672070	0.002495
0.874349	-0.729777	0.000210	0.671931	0.002380
0.879158	-0.729009	0.000228	0.666947	0.002682
0.883968	-0.726322	0.000249	0.661506	0.002639
0.888778	-0.723693	0.000264	0.658804	0.002856
0.893587	-0.721094	0.000234	0.658080	0.002409
0.898397	-0.718488	0.000263	0.649564	0.003380
0.903206	-0.716965	0.000250	0.647840	0.003250
0.908016	-0.714060	0.000248	0.645782	0.002726
0.912826	-0.713053	0.000276	0.638004	0.003714
0.917635	-0.709301	0.000260	0.632286	0.003930
0.922445	-0.706645	0.000262	0.632088	0.003412
0.927255	-0.702994	0.000292	0.624936	0.004395
0.932064	-0.702176	0.000278	0.623011	0.003820
0.936874	-0.697915	0.000279	0.613204	0.004623
0.941683	-0.697714	0.000253	0.616364	0.003991
0.946493	-0.692982	0.000262	0.603262	0.005126
0.951303	-0.690484	0.000298	0.601978	0.004680
0.956112	-0.687109	0.000302	0.595303	0.005012
0.960922	-0.685511	0.000283	0.596401	0.004815
0.965731	-0.682792	0.000257	0.586752	0.005642
0.970541	-0.680518	0.000289	0.582292	0.005779
0.975351	-0.675259	0.000273	0.565018	0.006886
