# # Temperature	Energy	Specific Heat	Magnetization	Susceptibility
0.100000	-0.974627	0.000033	0.964037	0.000197
0.226316	-0.941589	0.000033	0.917566	0.000420
0.352632	-0.906967	0.000037	0.869314	0.000696
0.478947	-0.870710	0.000036	0.819312	0.000910
0.605263	-0.831838	0.000039	0.764849	0.001172
0.731579	-0.788897	0.000046	0.707659	0.001328
0.857895	-0.737853	0.000054	0.630391	0.001929
0.984211	-0.668171	0.000083	0.445762	0.010375
1.110526	-0.578182	0.000086	0.141914	0.004529
1.236842	-0.501420	0.000070	0.077205	0.001297
1.363158	-0.440952	0.000052	0.054395	0.000588
1.489474	-0.392587	0.000042	0.043630	0.000354
1.615789	-0.354463	0.000034	0.037360	0.000235
1.742105	-0.322673	0.000027	0.033261	0.000176
1.868421	-0.296734	0.000023	0.030899	0.000139
1.994737	-0.274493	0.000020	0.028469	0.000108
2.121053	-0.255849	0.000017	0.026675	0.000088
2.247368	-0.238794	0.000015	0.025470	0.000079
2.373684	-0.224642	0.000013	0.024132	0.000065
2.500000	-0.212162	0.000012	0.022968	0.000059
