# # Temperature	Energy	Specific Heat	Magnetization	Susceptibility (Optimized)
0.100000	-0.974467	0.000545	0.974784	0.000210
0.422222	-0.888767	0.000582	0.889236	0.000932
0.744444	-0.786723	0.000724	0.787242	0.001881
1.066667	-0.628532	0.001406	0.565377	0.012887
1.388889	-0.429903	0.000853	0.208949	0.007609
1.711111	-0.330382	0.000459	0.138658	0.002935
2.033333	-0.270530	0.000300	0.111850	0.001557
2.355556	-0.226165	0.000224	0.098415	0.001121
2.677778	-0.198724	0.000155	0.089809	0.000859
3.000000	-0.171874	0.000117	0.084190	0.000643
