# # Temperature	Energy	Specific Heat	Magnetization	Susceptibility (Ultra Optimized)
0.100000	-1.000000	0.000000	1.000000	0.000000
0.422222	-1.000000	0.000000	1.000000	0.000000
0.744444	-0.999838	0.000001	0.999919	0.000000
1.066667	-0.995647	0.000007	0.997760	0.000002
1.388889	-0.972249	0.000029	0.984633	0.000014
1.711111	-0.904443	0.000074	0.936926	0.000075
2.033333	-0.731730	0.000205	0.727936	0.001800
2.355556	-0.485781	0.000115	0.170444	0.003154
2.677778	-0.387823	0.000064	0.097823	0.000983
3.000000	-0.327226	0.000045	0.074197	0.000501
