# # Temperature	Energy	Specific Heat	Magnetization	Susceptibility
0.100000	-0.974524	0.000621	0.975333	0.000186
0.139394	-0.964305	0.000479	0.964111	0.000305
0.178788	-0.954088	0.000553	0.954639	0.000421
0.218182	-0.944000	0.000529	0.944524	0.000464
0.257576	-0.933809	0.000619	0.934902	0.000499
0.296970	-0.923120	0.000549	0.924008	0.000620
0.336364	-0.912140	0.000554	0.913094	0.000766
0.375758	-0.901420	0.000574	0.903292	0.000786
0.415152	-0.888878	0.000625	0.889117	0.001019
0.454545	-0.877597	0.000567	0.877156	0.001027
0.493939	-0.866614	0.000644	0.868287	0.001129
0.533333	-0.853933	0.000575	0.855113	0.001191
0.572727	-0.844522	0.000622	0.843884	0.001486
0.612121	-0.831504	0.000679	0.833383	0.001572
0.651515	-0.817102	0.000622	0.818132	0.001652
0.690909	-0.804352	0.000729	0.803998	0.001925
0.730303	-0.788929	0.000773	0.787863	0.002187
0.769697	-0.776717	0.000720	0.773478	0.002133
0.809091	-0.758899	0.000811	0.759213	0.002262
0.848485	-0.744358	0.000863	0.740271	0.002391
0.887879	-0.726956	0.000898	0.719675	0.003081
0.927273	-0.705941	0.001115	0.690875	0.004319
0.966667	-0.684560	0.001129	0.658976	0.006452
1.006061	-0.664047	0.001221	0.629395	0.008662
1.045455	-0.631609	0.001503	0.566385	0.014201
1.084848	-0.609494	0.001459	0.523075	0.015508
1.124242	-0.578673	0.001404	0.463983	0.016754
1.163636	-0.551297	0.001305	0.399913	0.017106
1.203030	-0.521889	0.001323	0.340775	0.016273
1.242424	-0.497050	0.001100	0.301029	0.013765
1.281818	-0.480657	0.000984	0.266955	0.011577
1.321212	-0.460442	0.000889	0.245116	0.009881
1.360606	-0.441197	0.000851	0.220102	0.008612
1.400000	-0.427438	0.000813	0.207408	0.007576
1.439394	-0.412900	0.000685	0.194539	0.006298
1.478788	-0.396034	0.000719	0.179234	0.005438
1.518182	-0.382908	0.000627	0.169456	0.004756
1.557576	-0.369196	0.000584	0.162666	0.004257
1.596970	-0.358291	0.000550	0.153106	0.003642
1.636364	-0.346182	0.000507	0.144297	0.003289
1.675758	-0.336528	0.000510	0.140422	0.003167
1.715152	-0.327584	0.000457	0.137281	0.002987
1.754545	-0.318221	0.000442	0.132238	0.002771
1.793939	-0.311249	0.000384	0.127030	0.002415
1.833333	-0.300858	0.000401	0.124782	0.002276
1.872727	-0.294685	0.000371	0.121732	0.002022
1.912121	-0.289437	0.000364	0.120435	0.002016
1.951515	-0.280683	0.000337	0.116565	0.001757
1.990909	-0.275198	0.000312	0.113817	0.001669
2.030303	-0.267308	0.000302	0.111085	0.001583
2.069697	-0.261989	0.000286	0.109387	0.001468
2.109091	-0.258453	0.000275	0.107891	0.001452
2.148485	-0.252523	0.000252	0.104349	0.001388
2.187879	-0.246122	0.000245	0.101972	0.001235
2.227273	-0.241670	0.000250	0.103993	0.001244
2.266667	-0.236350	0.000242	0.102293	0.001253
2.306061	-0.231150	0.000219	0.096046	0.001130
2.345455	-0.227057	0.000213	0.097912	0.001121
2.384848	-0.223093	0.000196	0.097173	0.001050
2.424242	-0.220043	0.000192	0.093660	0.001023
2.463636	-0.216762	0.000187	0.094219	0.001000
2.503030	-0.212424	0.000200	0.093737	0.000932
2.542424	-0.206697	0.000178	0.091580	0.000922
2.581818	-0.203382	0.000174	0.090977	0.000879
2.621212	-0.200997	0.000166	0.091496	0.000875
2.660606	-0.197620	0.000158	0.089190	0.000748
2.700000	-0.194211	0.000153	0.088192	0.000746
2.739394	-0.192497	0.000147	0.087610	0.000763
2.778788	-0.187308	0.000140	0.087674	0.000726
2.818182	-0.186070	0.000136	0.087929	0.000714
2.857576	-0.183280	0.000137	0.085633	0.000708
2.896970	-0.180700	0.000137	0.086963	0.000707
2.936364	-0.177638	0.000132	0.084527	0.000672
2.975758	-0.173877	0.000126	0.084426	0.000642
3.015152	-0.172799	0.000121	0.083745	0.000598
3.054545	-0.169257	0.000120	0.081896	0.000575
3.093939	-0.167677	0.000121	0.082679	0.000594
3.133333	-0.166874	0.000109	0.081976	0.000585
3.172727	-0.162139	0.000106	0.080835	0.000551
3.212121	-0.161571	0.000102	0.080352	0.000533
3.251515	-0.160431	0.000100	0.080218	0.000551
3.290909	-0.157766	0.000097	0.080368	0.000545
3.330303	-0.156296	0.000094	0.080336	0.000532
3.369697	-0.152345	0.000094	0.079187	0.000512
3.409091	-0.152402	0.000087	0.079559	0.000484
3.448485	-0.149223	0.000085	0.078546	0.000476
3.487879	-0.148046	0.000089	0.077712	0.000494
3.527273	-0.144141	0.000089	0.076755	0.000462
3.566667	-0.143437	0.000082	0.077227	0.000432
3.606061	-0.141239	0.000083	0.077428	0.000463
3.645455	-0.140680	0.000077	0.075849	0.000443
3.684848	-0.138785	0.000077	0.076216	0.000447
3.724242	-0.137358	0.000078	0.076782	0.000454
3.763636	-0.136031	0.000071	0.074267	0.000403
3.803030	-0.135175	0.000070	0.075877	0.000413
3.842424	-0.132497	0.000072	0.074546	0.000384
3.881818	-0.131281	0.000068	0.075307	0.000386
3.921212	-0.130735	0.000068	0.075858	0.000377
3.960606	-0.129000	0.000067	0.072704	0.000371
4.000000	-0.127791	0.000065	0.072554	0.000366
