Temperature,Energy,Energy_Std,Specific_Heat,Specific_Heat_Std,Magnetization,Magnetization_Std,Susceptibility,Susceptibility_Std
0.750000,-0.784131,0.000299,0.183969,0.008429,0.743350,0.001096,1.560822,0.085835
0.762245,-0.779526,0.000350,0.190245,0.007999,0.737470,0.001115,1.610822,0.101187
0.774490,-0.774812,0.000347,0.190920,0.008593,0.731834,0.001128,1.636187,0.080960
0.786735,-0.770037,0.000339,0.194126,0.009738,0.725799,0.001132,1.678157,0.081699
0.798980,-0.765188,0.000313,0.197154,0.008591,0.719736,0.001137,1.739048,0.089613
0.811224,-0.760249,0.000385,0.203003,0.008775,0.713441,0.001296,1.799552,0.116683
0.823469,-0.755268,0.000315,0.206588,0.009213,0.706994,0.001100,1.859360,0.095226
0.835714,-0.750067,0.000381,0.210224,0.010223,0.700205,0.001321,1.941074,0.102324
0.847959,-0.744805,0.000376,0.215113,0.010493,0.693081,0.001372,2.015590,0.106180
0.860204,-0.739410,0.000452,0.223516,0.010852,0.685830,0.001396,2.123235,0.122721
0.872449,-0.733851,0.000462,0.225613,0.010672,0.677962,0.001465,2.235125,0.158061
0.884694,-0.728125,0.000454,0.234032,0.011615,0.669898,0.001437,2.380133,0.140073
0.896939,-0.722251,0.000425,0.239407,0.011436,0.661007,0.001336,2.578804,0.186058
0.909184,-0.716323,0.000445,0.246996,0.010995,0.651819,0.001615,2.787176,0.185940
0.921429,-0.710024,0.000440,0.256885,0.011848,0.641687,0.001681,3.091242,0.211636
0.933673,-0.703567,0.000498,0.265493,0.011497,0.630283,0.001706,3.461435,0.264234
0.945918,-0.697023,0.000539,0.276118,0.013376,0.618918,0.001746,3.917882,0.342414
0.958163,-0.690082,0.000503,0.284850,0.012858,0.605136,0.002275,4.577149,0.405730
0.970408,-0.682820,0.000530,0.297283,0.013624,0.590467,0.002368,5.269533,0.391376
0.982653,-0.675317,0.000596,0.311828,0.013852,0.573167,0.002624,6.394999,0.494488
0.994898,-0.667397,0.000620,0.327226,0.013251,0.554279,0.002932,7.612828,0.554360
1.007143,-0.659257,0.000598,0.343587,0.015018,0.532908,0.003194,9.125763,0.624346
1.019388,-0.650654,0.000627,0.355728,0.016795,0.507822,0.003496,10.876637,0.681259
1.031633,-0.641682,0.000581,0.365283,0.018018,0.481592,0.003651,12.354394,0.734504
1.043878,-0.632614,0.000602,0.373614,0.015290,0.453065,0.003275,13.859911,0.727662
1.056122,-0.623224,0.000659,0.380907,0.016165,0.421828,0.003759,15.108634,0.710787
1.068367,-0.613922,0.000662,0.382541,0.015915,0.391689,0.004799,15.701228,0.632315
1.080612,-0.604515,0.000705,0.377774,0.016154,0.362004,0.004149,15.664925,0.595642
1.092857,-0.595345,0.000643,0.372806,0.017897,0.333656,0.003916,15.160798,0.551113
1.105102,-0.586317,0.000659,0.361746,0.016554,0.307725,0.004345,14.439437,0.458185
1.117347,-0.577511,0.000664,0.352216,0.013707,0.283898,0.003438,13.296039,0.439222
1.129592,-0.568878,0.000580,0.346907,0.015025,0.263529,0.003687,12.228594,0.449036
1.141837,-0.560548,0.000712,0.333064,0.016014,0.245024,0.003592,10.985334,0.401611
1.154082,-0.552498,0.000688,0.326551,0.015546,0.229037,0.003499,10.077593,0.391485
1.166327,-0.544549,0.000694,0.316147,0.015803,0.214801,0.002851,9.040161,0.315109
1.178571,-0.536842,0.000685,0.308877,0.013473,0.201298,0.002946,8.183884,0.359315
1.190816,-0.529373,0.000721,0.300338,0.013767,0.190893,0.002867,7.393580,0.323049
1.203061,-0.522076,0.000671,0.295115,0.014109,0.180643,0.002710,6.730078,0.272824
1.215306,-0.515048,0.000619,0.287548,0.013991,0.171905,0.002788,6.110879,0.280244
1.227551,-0.507963,0.000653,0.279646,0.011600,0.163381,0.002301,5.501696,0.253088
1.239796,-0.501357,0.000658,0.272643,0.011740,0.156851,0.002584,5.099253,0.218409
1.252041,-0.494684,0.000594,0.266393,0.012383,0.150249,0.002474,4.666118,0.175573
1.264286,-0.488244,0.000617,0.260562,0.011121,0.144245,0.002189,4.304571,0.175686
1.276531,-0.481993,0.000683,0.253450,0.010043,0.138664,0.002243,3.972637,0.191750
1.288776,-0.475710,0.000570,0.248342,0.010043,0.133815,0.002038,3.693805,0.163139
1.301020,-0.469733,0.000619,0.242875,0.011254,0.129596,0.001796,3.441213,0.148898
1.313265,-0.463993,0.000586,0.236593,0.011486,0.125574,0.001846,3.205649,0.145184
1.325510,-0.458217,0.000647,0.231184,0.010377,0.121420,0.001883,2.966192,0.130214
1.337755,-0.452483,0.000629,0.223661,0.010099,0.117312,0.001792,2.790594,0.123441
1.350000,-0.447101,0.000679,0.220309,0.010474,0.114278,0.001730,2.598059,0.129038
