L_16,L_32,L_64,L_128,L_256
1.141501,1.039980,1.003416,0.970083,0.970058
1.146613,1.041224,1.003713,0.975295,0.970794
1.139888,1.039089,1.004140,0.968183,0.970331
1.140360,1.040160,1.003749,0.976395,0.976562
1.140686,1.040572,1.005780,0.975585,0.971396
1.138403,1.038653,1.005935,0.976213,0.973819
1.143407,1.037522,1.003554,0.975342,0.971029
1.130467,1.041876,1.005028,0.971587,0.970236
1.141480,1.032127,1.002324,0.972547,0.972703
1.147115,1.037643,1.006258,0.972775,0.969881
1.142887,1.038918,1.003156,0.975145,0.974959
1.141192,1.026216,1.003469,0.978202,0.973171
1.147428,1.037909,1.001431,0.973161,0.972352
1.143813,1.040778,1.004014,0.973330,0.971281
1.129916,1.035276,1.003236,0.976490,0.972427
1.140294,1.036991,1.007592,0.976483,0.974474
1.143264,1.034000,1.005048,0.971643,0.973158
1.142743,1.040045,1.006446,0.972407,0.973231
1.140914,1.035682,1.005568,0.977115,0.972108
1.145422,1.040545,1.002173,0.974871,0.976391
1.141949,1.031997,1.007264,0.974573,0.973361
1.136752,1.038746,1.001117,0.977452,0.969080
1.144322,1.036858,1.002994,0.976093,0.971393
1.125173,1.038523,1.007445,0.969758,0.968846
1.133689,1.033105,1.004994,0.974334,0.972990
1.148783,1.042558,1.008737,0.975991,0.955268
1.138482,1.039777,1.004064,0.975138,0.973608
1.140267,1.031519,1.008229,0.970234,0.971228
1.140842,1.035775,1.004719,0.976666,0.973655
1.146234,1.040516,1.010417,0.975346,0.971250
1.139689,1.037176,1.006339,0.970292,0.972926
1.139455,1.042238,1.008482,0.972784,0.968720
1.141931,1.040180,1.006921,0.972522,0.974369
1.138378,1.040995,1.008900,0.971001,0.971307
1.145811,1.040077,1.007176,0.971444,0.971058
1.143719,1.035235,1.006932,0.976160,0.973247
1.144585,1.036457,1.007567,0.977037,0.969200
1.140870,1.040834,1.006080,0.975850,0.976721
1.141699,1.039558,1.003695,0.971075,0.972607
1.140713,1.040549,1.006151,0.972594,0.970686
1.145677,1.035468,1.004458,0.976262,0.971589
1.140625,1.038470,1.005036,0.970999,0.972974
1.143942,1.038003,1.005670,0.976915,0.973159
1.140138,1.035281,1.003201,0.971639,0.969926
1.141316,1.036936,1.004595,0.973372,0.972924
1.140411,1.041768,1.005826,0.976057,0.970549
1.135222,1.041552,1.002875,0.977058,0.970010
1.138662,1.039609,1.005731,0.973974,0.967589
1.147156,1.040050,1.003828,0.975700,0.973901
1.140002,1.039257,1.006213,0.973034,0.967498
1.139340,1.044423,1.005103,0.975992,0.970102
1.144987,1.038827,1.003902,0.974530,0.975611
1.139912,1.038686,1.005622,0.973572,0.968722
1.141408,1.038353,1.005938,0.975649,0.972349
