    # 2D XY Model (256x256) Susceptibility Analysis
    # Temperature	Avg_Magnetization	Magnetization_Std	Avg_Susceptibility(x10^-3)	Susceptibility_Std(x10^-3)
    0.650000	44940.279064	1421.847708	47458.376490	4437.021030
    0.660000	44553.587445	1673.749943	64767.522428	6748.210881
    0.670000	44216.577049	1697.941978	65658.500087	11480.265421
    0.681000	43902.238834	1524.002966	52040.874039	6444.836720
    0.691000	43475.948378	1604.349550	56838.160691	6195.068653
    0.701000	43173.794812	1558.248022	52853.678647	6363.425970
    0.711000	42846.744237	1743.950234	65270.756147	10644.175401
    0.721000	42375.841185	1717.484473	62426.709479	8648.949983
    0.731000	42045.968464	1703.509337	60574.763764	6831.395576
    0.742000	41521.433989	1814.379210	67697.446193	7236.222667
    0.752000	41117.139573	1875.191731	71349.935909	13122.299071
    0.762000	40968.449283	1896.379933	72013.811926	8544.467113
    0.772000	40543.752630	1786.706424	63097.066258	6417.178085
    0.782000	40006.992233	1665.033329	54095.255791	7570.559679
    0.792000	39338.134356	2255.548808	98016.535128	15769.702882
    0.803000	38851.104639	1950.176135	72269.025615	9171.881858
    0.813000	38439.891104	1868.496230	65526.048025	7989.573569
    0.823000	38272.451330	2180.354598	88140.293914	12948.137651
    0.833000	37562.776617	1976.541514	71562.738051	8794.820113
    0.843000	36798.268108	2023.253078	74095.684508	10459.110514
    0.853000	36422.209434	2038.257388	74317.157211	11654.914932
    0.864000	35675.710871	2437.172521	104900.817451	20690.287534
    0.874000	35443.151566	2028.525741	71840.555655	10862.139450
    0.884000	34385.134413	2251.871132	87529.585379	9995.816625
    0.894000	33920.845224	2282.089813	88888.998931	12195.140981
    0.904000	32743.316103	2830.857230	135265.665244	21248.847152
    0.914000	32133.118034	2529.455077	106813.910504	15992.871942
    0.925000	30796.149616	3310.049377	180737.088184	43809.474487
    0.935000	29589.809893	3706.807152	224237.603338	49960.295522
    0.945000	27199.155543	4287.985912	296889.583548	46944.762000
    0.955000	24499.901735	5121.047862	419019.628404	66798.836951
    0.965000	19930.447626	6335.587682	634697.178188	70290.015601
    0.975000	16613.721072	6516.384736	664551.877205	61572.356525
    0.986000	13498.753452	5842.623100	528273.587373	45095.918340
    0.996000	9835.837728	4746.634657	345169.443749	31680.153234
    1.006000	7900.957205	3858.634845	225834.065209	23106.946345
    1.016000	6936.818146	3229.857646	156672.626578	18111.810603
    1.026000	5877.263348	2922.265512	127002.436848	13830.197278
    1.036000	4772.090680	2492.112720	91473.580296	12213.291181
    1.047000	4602.461673	2175.979896	69005.410646	7345.886643
    1.057000	3827.412216	1968.793639	55955.847378	5832.531292
    1.067000	3253.598911	1786.690688	45651.431234	5535.007237
    1.077000	3115.356893	1510.966047	32345.493141	3830.607321
    1.087000	2974.044104	1525.017867	32646.782752	4109.145477
    1.097000	2521.476155	1449.485283	29224.094396	3836.024458
    1.108000	2167.235983	1167.370935	18767.138608	2329.299006
    1.118000	2239.130460	1188.812879	19288.802584	2682.016481
    1.128000	2136.643084	1095.764521	16242.221875	1929.557333
    1.138000	2085.111986	1058.350112	15018.844730	1383.690831
    1.148000	1905.135482	885.102816	10412.754439	1352.342237
    1.158000	1835.871778	939.034820	11619.164569	1085.440125
    1.169000	1729.574060	816.130406	8694.100881	885.426481
    1.179000	1590.250668	794.463106	8168.714781	828.002366
    1.189000	1608.609179	855.598133	9394.590870	1018.334679
    1.199000	1449.909880	694.781586	6143.240052	624.984037
    1.209000	1523.927294	798.614446	8049.484943	902.809706
    1.219000	1339.415496	713.425595	6371.089945	673.496692
    1.230000	1308.469268	634.665582	4996.948257	482.143817
    1.240000	1277.450368	622.719397	4771.810322	522.898757
    1.250000	1186.855554	628.502564	4821.966217	586.851683

    # Overall Average Susceptibility: 105124.308417 x10^-3
    # Overall Susceptibility Std Dev: 13494.131270 x10^-3
