# 2D XY Model (64x64) Susceptibility Analysis
# Temperature	Avg_Magnetization	Magnetization_Std	Avg_Susceptibility(x10^-3)	Susceptibility_Std(x10^-3)
0.700000	2984.922837	125.602530	343.889410	53.004786
0.710000	2956.367674	128.162123	353.005202	58.263013
0.720000	2952.317362	117.915552	294.665813	28.532448
0.731000	2920.063245	128.337875	343.805152	36.360990
0.741000	2893.489701	120.794323	300.465705	40.492311
0.751000	2876.847456	110.611907	248.590136	29.129785
0.761000	2855.748074	120.377650	290.554183	31.213224
0.771000	2833.951536	130.110402	335.034653	39.401785
0.781000	2780.457394	125.255729	306.523825	33.776032
0.792000	2779.595850	141.292534	384.621288	77.810970
0.802000	2766.260556	121.796094	282.236009	42.849781
0.812000	2747.882506	152.994064	439.858718	41.705182
0.822000	2687.443226	151.797541	427.737890	57.775333
0.832000	2693.361063	159.885450	468.829175	91.080163
0.842000	2627.301160	155.079180	435.827840	71.443327
0.853000	2671.037298	138.101228	341.166296	45.400585
0.863000	2595.683212	163.754455	474.127908	74.919405
0.873000	2532.149915	187.837958	616.698003	97.336040
0.883000	2559.911101	158.736735	435.425896	57.869357
0.893000	2464.361816	159.735079	435.982653	48.392425
0.903000	2479.053835	131.919492	294.069688	32.407496
0.914000	2460.356354	168.624262	474.694279	87.184166
0.924000	2358.413059	202.553196	677.526520	119.381161
0.934000	2362.470126	197.921526	639.969469	62.202429
0.944000	2263.624648	194.181278	609.484665	67.011877
0.954000	2247.937631	238.398222	909.028958	144.606119
0.964000	2089.879157	288.920115	1321.291351	202.863035
0.975000	2071.339973	256.485696	1029.536513	164.830774
0.985000	1970.686994	375.321561	2182.181489	335.260171
0.995000	1822.627756	381.522053	2232.216329	259.559989
1.005000	1710.844791	423.319671	2720.764218	334.429936
1.015000	1485.364273	493.732032	3664.684870	403.427125
1.025000	1433.667851	490.654342	3583.830788	293.609417
1.036000	1130.628161	482.888371	3434.423184	320.249305
1.046000	1130.633798	460.739978	3096.707454	279.543336
1.056000	959.480865	407.093474	2394.663160	227.360646
1.066000	936.237510	465.438379	3100.896332	330.616819
1.076000	849.174872	343.049220	1668.862935	144.246227
1.086000	797.602994	430.133583	2599.542656	318.368170
1.097000	731.036816	375.864172	1965.057678	207.675201
1.107000	644.215582	326.760437	1471.740989	124.473798
1.117000	614.486932	273.648136	1022.944063	132.803165
1.127000	523.572804	267.014285	965.306314	138.687275
1.137000	445.028688	226.035225	685.664795	78.896857
1.147000	531.400896	265.061011	934.648580	107.026908
1.158000	439.402247	244.801335	789.658064	105.403164
1.168000	368.781896	217.765702	619.521218	85.103152
1.178000	383.535394	206.645968	553.131831	65.640889
1.188000	388.688222	194.203079	484.413070	58.845512
1.198000	325.351440	168.487073	361.573356	55.981689
1.208000	367.115084	187.670940	444.884418	64.760592
1.219000	366.556643	180.858111	409.441957	44.624516
1.229000	315.433163	158.941286	313.647357	34.568897
1.239000	317.003803	160.836011	318.577684	31.272375
1.249000	288.829177	156.359453	298.679843	41.616837
1.259000	277.638978	139.984295	237.494179	26.456310
1.269000	277.253326	143.614847	248.003111	28.708424
1.280000	270.571888	129.300551	199.301629	20.919029
1.290000	282.225888	161.054664	306.815270	30.626447
1.300000	253.103046	138.943169	226.595414	26.503561

# Overall Average Susceptibility: 950.842024 x10^-3
# Overall Susceptibility Std Dev: 111.575162 x10^-3
