temperature,ordered_probability,amorphous_probability
0.750,0.999933,6.7e-05
0.750,0.999954,4.6e-05
0.750,0.999978,2.2e-05
0.750,0.999988,1.2e-05
0.750,0.99996,4e-05
0.750,0.999974,2.6e-05
0.750,0.99995,5e-05
0.750,0.999981,1.9e-05
0.750,0.999989,1.1e-05
0.750,0.999976,2.4e-05
0.750,0.999983,1.7e-05
0.750,0.999986,1.4e-05
0.750,0.999985,1.5e-05
0.750,0.99998,2e-05
0.750,0.999968,3.2e-05
0.750,0.999947,5.3e-05
0.750,0.999959,4.1e-05
0.750,0.999961,3.9e-05
0.750,0.999985,1.5e-05
0.750,0.999984,1.6e-05
0.750,0.999978,2.2e-05
0.750,0.999992,8e-06
0.750,0.999992,8e-06
0.750,0.999989,1.1e-05
0.750,0.999975,2.5e-05
0.750,0.999962,3.8e-05
0.750,0.999972,2.8e-05
0.750,0.999852,0.000148
0.750,0.999976,2.4e-05
0.750,0.999978,2.3e-05
0.750,0.999984,1.6e-05
0.750,0.999967,3.3e-05
0.750,0.999964,3.6e-05
0.750,0.999975,2.5e-05
0.750,0.999994,6e-06
0.750,0.999994,6e-06
0.750,0.999961,3.9e-05
0.750,0.999933,6.7e-05
0.750,0.99997,3e-05
0.750,0.999984,1.6e-05
0.750,0.999969,3.1e-05
0.750,0.999991,9e-06
0.750,0.999933,6.7e-05
0.750,0.99996,4e-05
0.750,0.999964,3.6e-05
0.750,0.999985,1.5e-05
0.750,0.99998,2e-05
0.750,0.999979,2.1e-05
0.750,0.999973,2.7e-05
0.750,0.99998,2e-05
0.750,0.999975,2.5e-05
0.750,0.999972,2.8e-05
0.750,0.999973,2.7e-05
0.750,0.999962,3.8e-05
0.750,0.999914,8.6e-05
0.750,0.99999,1e-05
0.750,0.999981,1.9e-05
0.750,0.99998,2e-05
0.750,0.999826,0.000174
0.750,0.999977,2.3e-05
0.750,0.999974,2.6e-05
0.750,0.99996,4.1e-05
0.750,0.999968,3.2e-05
0.750,0.999973,2.7e-05
0.750,0.999959,4.1e-05
0.750,0.999986,1.4e-05
0.750,0.999982,1.8e-05
0.750,0.999994,6e-06
0.750,0.999989,1.1e-05
0.750,0.999978,2.2e-05
0.750,0.999989,1.1e-05
0.750,0.999979,2.1e-05
0.750,0.999979,2.1e-05
0.750,0.999986,1.4e-05
0.750,0.999939,6.1e-05
0.750,0.999935,6.5e-05
0.750,0.999979,2.1e-05
0.750,0.999982,1.8e-05
0.750,0.999982,1.7e-05
0.750,0.999986,1.4e-05
0.750,0.999971,2.9e-05
0.750,0.999985,1.5e-05
0.750,0.999957,4.3e-05
0.750,0.999992,9e-06
0.750,0.999986,1.4e-05
0.750,0.999985,1.5e-05
0.750,0.999985,1.5e-05
0.750,0.999979,2.1e-05
0.750,0.999992,8e-06
0.750,0.999945,5.5e-05
0.750,0.99997,3e-05
0.750,0.999947,5.3e-05
0.750,0.999975,2.5e-05
0.750,0.999924,7.6e-05
0.750,0.999977,2.3e-05
0.750,0.999989,1.1e-05
0.750,0.999946,5.4e-05
0.750,0.999959,4.1e-05
0.750,0.999982,1.8e-05
0.750,0.999959,4.1e-05
0.750,0.99995,4.9e-05
0.762,0.999964,3.6e-05
0.762,0.999979,2.1e-05
0.762,0.999978,2.2e-05
0.762,0.999974,2.5e-05
0.762,0.999953,4.7e-05
0.762,0.999987,1.3e-05
0.762,0.999992,8e-06
0.762,0.999958,4.2e-05
0.762,0.999979,2.1e-05
0.762,0.999976,2.4e-05
0.762,0.999965,3.5e-05
0.762,0.999976,2.4e-05
0.762,0.999984,1.6e-05
0.762,0.999751,0.000249
0.762,0.999967,3.3e-05
0.762,0.999961,3.9e-05
0.762,0.999973,2.7e-05
0.762,0.999369,0.000631
0.762,0.999988,1.2e-05
0.762,0.999945,5.5e-05
0.762,0.999979,2.1e-05
0.762,0.99998,2e-05
0.762,0.999992,8e-06
0.762,0.999987,1.3e-05
0.762,0.999974,2.6e-05
0.762,0.999966,3.4e-05
0.762,0.999983,1.7e-05
0.762,0.999977,2.3e-05
0.762,0.999976,2.4e-05
0.762,0.99997,3e-05
0.762,0.999981,1.9e-05
0.762,0.999991,9e-06
0.762,0.99999,1e-05
0.762,0.999991,9e-06
0.762,0.999937,6.3e-05
0.762,0.999948,5.2e-05
0.762,0.999987,1.3e-05
0.762,0.99998,2e-05
0.762,0.999988,1.2e-05
0.762,0.99994,6e-05
0.762,0.999944,5.6e-05
0.762,0.999983,1.7e-05
0.762,0.999981,1.9e-05
0.762,0.999953,4.7e-05
0.762,0.99998,2e-05
0.762,0.999971,2.9e-05
0.762,0.999969,3.1e-05
0.762,0.999956,4.4e-05
0.762,0.999984,1.6e-05
0.762,0.999974,2.6e-05
0.762,0.999986,1.3e-05
0.762,0.999973,2.7e-05
0.762,0.999932,6.8e-05
0.762,0.999872,0.000128
0.762,0.999938,6.2e-05
0.762,0.999972,2.8e-05
0.762,0.99996,4e-05
0.762,0.999992,8e-06
0.762,0.999986,1.4e-05
0.762,0.999971,2.9e-05
0.762,0.999964,3.6e-05
0.762,0.999979,2.1e-05
0.762,0.999989,1.1e-05
0.762,0.999985,1.4e-05
0.762,0.999828,0.000172
0.762,0.99999,1e-05
0.762,0.999991,9e-06
0.762,0.999977,2.3e-05
0.762,0.999985,1.5e-05
0.762,0.999932,6.8e-05
0.762,0.999969,3.1e-05
0.762,0.999976,2.4e-05
0.762,0.999966,3.4e-05
0.762,0.99997,3.1e-05
0.762,0.999966,3.4e-05
0.762,0.999977,2.3e-05
0.762,0.999932,6.8e-05
0.762,0.999946,5.4e-05
0.762,0.999978,2.2e-05
0.762,0.999961,3.9e-05
0.762,0.999955,4.5e-05
0.762,0.999989,1.1e-05
0.762,0.999902,9.8e-05
0.762,0.999964,3.6e-05
0.762,0.999978,2.3e-05
0.762,0.999954,4.7e-05
0.762,0.999984,1.5e-05
0.762,0.999986,1.4e-05
0.762,0.999972,2.8e-05
0.762,0.99996,4e-05
0.762,0.999983,1.7e-05
0.762,0.999968,3.2e-05
0.762,0.999978,2.2e-05
0.762,0.999958,4.2e-05
0.762,0.999967,3.3e-05
0.762,0.999974,2.6e-05
0.762,0.999946,5.4e-05
0.762,0.999989,1.1e-05
0.762,0.999958,4.2e-05
0.762,0.999967,3.3e-05
0.762,0.999985,1.5e-05
0.774,0.999961,3.9e-05
0.774,0.999864,0.000136
0.774,0.999981,1.9e-05
0.774,0.999931,6.9e-05
0.774,0.999949,5.1e-05
0.774,0.999929,7.1e-05
0.774,0.999986,1.4e-05
0.774,0.999982,1.8e-05
0.774,0.999983,1.7e-05
0.774,0.999943,5.7e-05
0.774,0.999989,1.1e-05
0.774,0.999992,8e-06
0.774,0.999979,2.1e-05
