folder_name,total_images,valid_predictions,error_count,avg_ordered_probability,avg_amorphous_probability,var_ordered_probability,var_amorphous_probability,amorphous_prediction_rate
0.750,101,101,0,0.99997,3e-05,0.0,0.0,1.0
0.762,101,101,0,0.99996,4e-05,0.0,0.0,1.0
0.774,101,101,0,0.999959,4.1e-05,0.0,0.0,1.0
0.787,101,101,0,0.999923,7.7e-05,0.0,0.0,1.0
0.799,101,101,0,0.999894,0.000106,0.0,0.0,1.0
0.811,101,101,0,0.999827,0.000173,0.0,0.0,1.0
0.823,101,101,0,0.999871,0.000129,0.0,0.0,1.0
0.836,101,101,0,0.998825,0.001175,0.000103,0.000103,1.0
0.848,101,101,0,0.999162,0.000837,1e-05,1e-05,1.0
0.860,101,101,0,0.997148,0.002852,6.9e-05,6.9e-05,1.0
0.872,101,101,0,0.998162,0.001839,3.1e-05,3.1e-05,1.0
0.885,101,101,0,0.987088,0.012912,0.002817,0.002817,1.0
0.897,101,101,0,0.981345,0.018655,0.00442,0.00442,1.0
0.909,101,101,0,0.977193,0.022807,0.008726,0.008726,0.990099
0.921,101,101,0,0.954857,0.045143,0.025824,0.025824,0.970297
0.934,101,101,0,0.954839,0.045161,0.017584,0.017584,0.980198
0.946,101,101,0,0.878432,0.121568,0.063263,0.063263,0.871287
0.958,101,101,0,0.875387,0.124613,0.071254,0.071254,0.861386
0.970,101,101,0,0.865187,0.134813,0.0722,0.0722,0.881188
0.983,101,101,0,0.824447,0.175553,0.098964,0.098964,0.821782
0.995,101,101,0,0.735836,0.264164,0.131577,0.131577,0.732673
1.007,101,101,0,0.735346,0.264654,0.139337,0.139337,0.752475
1.019,101,101,0,0.610751,0.389249,0.168497,0.168497,0.613861
1.032,101,101,0,0.571682,0.428318,0.181375,0.181375,0.584158
1.044,101,101,0,0.473961,0.526039,0.189616,0.189616,0.465347
1.056,101,101,0,0.374938,0.625062,0.1627,0.1627,0.366337
1.068,101,101,0,0.341232,0.658768,0.147002,0.147002,0.356436
1.081,101,101,0,0.21398,0.78602,0.105525,0.105525,0.217822
1.093,101,101,0,0.14987,0.85013,0.074276,0.074276,0.148515
1.105,101,101,0,0.146823,0.853178,0.080187,0.080187,0.138614
1.117,101,101,0,0.06923,0.93077,0.032106,0.032106,0.049505
1.130,101,101,0,0.066231,0.933769,0.027845,0.027845,0.039604
1.142,101,101,0,0.04002,0.95998,0.01485,0.01485,0.029703
1.154,101,101,0,0.017517,0.982483,0.00637,0.00637,0.009901
1.166,101,101,0,0.013964,0.986036,0.004743,0.004743,0.009901
1.179,101,101,0,0.01012,0.989881,0.005522,0.005522,0.009901
1.191,101,101,0,0.004515,0.995485,0.000441,0.000441,0.0
1.203,101,101,0,0.001485,0.998515,1.6e-05,1.6e-05,0.0
1.215,101,101,0,0.002786,0.997214,0.000527,0.000527,0.0
1.228,101,101,0,0.007998,0.992002,0.004069,0.004069,0.009901
1.240,101,101,0,0.000454,0.999546,3e-06,3e-06,0.0
1.252,101,101,0,0.000618,0.999382,4e-06,4e-06,0.0
1.264,101,101,0,0.000208,0.999792,0.0,0.0,0.0
1.277,101,101,0,0.000226,0.999774,0.0,0.0,0.0
1.289,101,101,0,0.000175,0.999825,0.0,0.0,0.0
1.301,101,101,0,0.000151,0.999849,0.0,0.0,0.0
1.313,101,101,0,9.8e-05,0.999902,0.0,0.0,0.0
1.326,101,101,0,8.8e-05,0.999912,0.0,0.0,0.0
1.338,101,101,0,7.3e-05,0.999927,0.0,0.0,0.0
1.350,101,101,0,5.7e-05,0.999943,0.0,0.0,0.0
