folder_name,total_images,valid_predictions,error_count,avg_ordered_probability,avg_amorphous_probability,var_ordered_probability,var_amorphous_probability,amorphous_prediction_rate,T_BKT,L
0.85,100,100,0,0.983006,0.016994,0.003289,0.003289,1.0,0.6357680793923263,24
0.856,100,100,0,0.986575,0.013425,0.003379,0.003379,0.99,0.6417680793923263,24
0.862,100,100,0,0.973409,0.026591,0.009071,0.009071,0.99,0.6477680793923263,24
0.868,100,100,0,0.993362,0.006638,0.000503,0.000503,1.0,0.6537680793923263,24
0.874,100,100,0,0.97252,0.02748,0.008782,0.008782,0.99,0.6597680793923263,24
0.88,100,100,0,0.97752,0.02248,0.004343,0.004343,1.0,0.6657680793923263,24
0.886,100,100,0,0.968375,0.031625,0.01049,0.01049,0.99,0.6717680793923263,24
0.892,100,100,0,0.975148,0.024852,0.006037,0.006037,0.99,0.6777680793923263,24
0.898,100,100,0,0.95078,0.04922,0.026287,0.026287,0.97,0.6837680793923263,24
0.905,100,100,0,0.969717,0.030283,0.010669,0.010669,0.99,0.6907680793923263,24
0.911,100,100,0,0.954489,0.045511,0.024993,0.024993,0.96,0.6967680793923263,24
0.917,100,100,0,0.963107,0.036893,0.012465,0.012465,0.99,0.7027680793923263,24
0.923,100,100,0,0.95379,0.04621,0.015082,0.015082,0.97,0.7087680793923263,24
0.929,100,100,0,0.962267,0.037733,0.013186,0.013186,0.98,0.7147680793923263,24
0.935,100,100,0,0.950644,0.049356,0.024785,0.024785,0.96,0.7207680793923263,24
0.941,100,100,0,0.949474,0.050526,0.021146,0.021146,0.96,0.7267680793923262,24
0.947,100,100,0,0.944556,0.055444,0.020253,0.020253,0.97,0.7327680793923262,24
0.953,100,100,0,0.929504,0.070496,0.030036,0.030036,0.93,0.7387680793923262,24
0.959,100,100,0,0.946798,0.053202,0.022274,0.022274,0.96,0.7447680793923263,24
0.965,100,100,0,0.923664,0.076336,0.037262,0.037262,0.94,0.7507680793923263,24
0.971,100,100,0,0.924879,0.075121,0.033578,0.033578,0.94,0.7567680793923263,24
0.977,100,100,0,0.931327,0.068673,0.028126,0.028126,0.95,0.7627680793923263,24
0.983,100,100,0,0.906112,0.093889,0.042845,0.042845,0.93,0.7687680793923263,24
0.989,100,100,0,0.89295,0.10705,0.04666,0.04666,0.93,0.7747680793923263,24
0.995,100,100,0,0.853441,0.146559,0.072361,0.072361,0.86,0.7807680793923263,24
1.002,100,100,0,0.871949,0.128051,0.063108,0.063108,0.89,0.7877680793923263,24
1.008,100,100,0,0.820467,0.179533,0.099265,0.099265,0.83,0.7937680793923263,24
1.014,100,100,0,0.784219,0.215781,0.094977,0.094977,0.82,0.7997680793923263,24
1.02,100,100,0,0.849881,0.150119,0.077709,0.077709,0.87,0.8057680793923263,24
1.026,100,100,0,0.793869,0.206131,0.100087,0.100087,0.8,0.8117680793923263,24
